property_code	name	city	launch_date	postal_code	state	street_address
.meritag - MERGED	.meritag					
.wdcrst	.wdcrst					
0	Promenade at Uptown (old)		2016-05-01			
1004	Brooksfield		2013-01-01			
1014	River Ranch		2013-01-01			
1018	Plantation Oaks		2013-01-01			
1021	Club at Oak Creek		2013-01-01			
1024	Towne Oaks South		2013-01-01			
1028	Osprey Pointe		2013-01-01			
1033	Woodhollow		2013-01-01			
1046	Bullard Creek		2013-01-01			
1047	College Square Village I		2013-01-01			
1048	College Square Village II		2013-01-01			
1066	Bullard Crossing		2013-01-01			
1073	Huntington Pointe		2013-01-01			
1074	Bridgepoint		2013-01-01			
1075	Wood Trail - Tyler		2013-01-01			
1078	Timber Ridge		2013-01-01			
1088	Wood Trail - Bryan		2013-01-01			
1089	Riatta Ranch		2013-01-01			
1095	Oakwood Village		2013-01-01			
1096	Stewart's Landing		2013-01-01			
1102	Canyon Crossing		2013-01-01			
1103	Indiana Village		2013-01-01			
1104	Canyon Crossing II		2013-01-01			
1134	Curry Junction		2013-01-01			
1136	Trestles, The		2013-01-01			
1141	Chapel Oaks		2013-01-01			
1143	Edgewood		2013-01-01			
1154	Northwood Village		2013-01-01			
1168	College Square	Cedar Falls		50613	IA	923 Maplewood Drive
1169	Brady Station		2013-01-01			
1171	Stone Hollow		2013-01-01			
1173	Colony, The		2013-01-01			
1174	Porterwood		2013-01-01			
1176	St. Charles Place		2013-01-01			
1178	Westport on the River		2013-01-01			
1182	Walnut Bend - Dallas		2013-01-01			
1183	Parks at Walnut, The		2013-01-01			
1184	Westpointe		2013-01-01			
1206	Valley Oaks		2013-01-01			
121	121					
1238	Toscana		2013-01-01			
1249	Lakeshore Club Condominium		2013-01-01			
1252	Weston Park		2013-01-01			
1253	Siesta Lago Condominiums		2013-01-01			
1268	Forest Park		2013-01-01			
1270	Captain's Landing		2013-01-01			
1274	Remington		2013-01-01			
1275	Stonehaven Villas		2013-01-01			
1281	Cameron Lakes					
1285	Club at Highland Park		2013-01-01			
1286	Terrace Garden		2013-02-01			
1312	Club at Washington Heights		2013-01-01			
1328	Remington Ranch		2013-01-01			
1356	Fountain Square		2013-01-01			
1365	Ashton, The		2013-01-01			
1370	Prentiss Creek		2013-01-01			
1372	Acadian Gardens		2013-01-01			
1373	South College Gardens		2013-01-01			
1374	Willow Gardens		2013-01-01			
1375	Tiger Manor II		2013-01-01			
1376	Tiger Manor		2013-01-01			
1377	Hidden Harbour		2013-01-01			
1390	Briarwood Apartments					
1391	Broadmoor		2013-01-01			
1392	Promenade at Uptown		2013-01-01			
1393	River Oaks		2013-01-01			
1395	Republic Woodlake		2013-01-01			
1400	Tuckahoe Creek		2013-01-01			
1402	Villages at Louetta		2013-01-01			
1404	Pembrook Club		2013-01-01			
1407	Canyons at 45 West		2013-01-01			
1410	Carlton Court		2013-01-01			
1412	Fountains of Conroe		2013-01-01			
1413	Birchwood at Boulders		2013-01-01			
1415	The Crossings at Bramblewood		2013-01-01			
1417	Vinings Palisades		2013-01-01			
1418	Residence of North Dallas		2013-01-01			
1419	Terrace at Butler		2013-01-01			
1420	Ridge, The		2013-01-01			
1423	Harbour, The		2013-01-01			
1424	Willeo Creek		2013-01-01			
1426	Grove, The		2013-01-01			
1428	Greentree - Texas		2013-01-01			
1431	Bass Lofts		2013-01-01			
1432	Heights of Kennesaw		2013-01-01			
1433	Chastain Terrace		2013-01-01			
1434	Park at Kennesaw		2013-01-01			
1435	Republic Deer Creek		2013-01-01			
1436	Boulder Ridge		2013-03-01			
1437	Promenade at Mayport		2013-03-01			
1438	Paces River I & II		2013-03-01			
1439	Paddock Place		2013-03-01			
1440	Promenade Summer Trace		2013-03-01			
1445	Stonecrossing of Westchase		2013-05-01			
1446	Oaks of Woodland Park, The		2013-04-01			
1448	Wakonda	Des Moines		50315	IA	1800 Watrous Avenue
1450	Ladera Palms		2013-05-01			
1451	Bent Tree		2013-05-01			
1453	Promenade at Edgewater		2013-05-01			
1454	Oasis at Bayside		2013-05-01			
1455	Tree House		2013-06-01			
1457	Preserve at Dunwoody		2013-06-01			
1458	Carmel Landing		2013-06-01			
1461	Stonecrossing East of Westchase		2013-06-01			
1462	Cedar Trails		2013-07-01			
1463	Chelsea Creek		2013-06-01			
1464	Pavilions at Vantage Point		2013-06-01			
1465	Pavilions at Pebble View		2013-07-01			
1466	Concord at Allendale		2013-08-01			
1467	Bella Vida at Coyote Ridge		2013-09-01			
1468	Stoneleigh on Kenswick		2013-09-01			
1469	Park at Peachtree Corners		2013-09-01			
1475	Place at Greenway		2013-10-01			
1476	Palms on Westheimer		2013-10-01			
1477	Park at Stone Creek		2013-10-01			
1479	Settler's Gate	Allen	2013-11-01		TX	1420 West McDermott
1480	Club at Fossil Creek	Fort Worth	2013-10-01		TX	3400 Western Center Boulevard
1481	Benton Pointe	Allen	2013-11-01		TX	205 Benton Drive
1482	Lansbrook at Twin Creeks	Allen	2013-11-01		TX	505 Benton Drive
1484	Axis at Westmont		2013-11-01			
1485	Lakes at Fountain Square		2013-11-01			
1486	Woodlands of Crest Hill, The		2013-11-01			
1487	Views of Naperville, The		2013-12-01			
1488	Promenade at Valley Ridge		2013-10-01			
1489	8000 Waters		2013-11-01			
1490	Colt's Crossing		2013-11-01			
1491	Enclave Hartland		2013-11-01			
1493	Seasons on Chelsea		2013-11-01			
1495	Boardwalk	Houston	2014-01-01		TX	9100 Fondren Road
1496	Woodhill	Denton	2013-12-01		TX	1408 Teasley Street
1497	Ridgecrest	Denton	2013-12-01		TX	1300 Dallas Drive
1498	La Colina	Denton	2013-12-01		TX	1200 Dallas Drive
1499	Timberlinks at Denton					
1500	Brookwood		2013-11-01			
1501	Club at Cherry Hills		2013-11-01			
1502	Annex		2014-01-01			
1503	Elements on Park		2013-11-01			
1504	Hunt Club		2013-11-01			
1505	Lakeside		2013-11-01			
1506	North Slope		2013-11-01			
1507	Quail Hollow		2013-11-01			
1508	Runaway Bay		2013-11-01			
1509	West Winds		2013-11-01			
1510	Views on Pelham, The		2013-11-01			
1511	Twenty5 Pelham		2013-11-01			
1512	Views on Longcreek I, The		2013-11-01			
1513	Views on Longcreek II, The		2013-11-01			
1514	Promenade at Belleair		2013-12-01			
1515	1515					
1516	1516					
1517	1517					
1519	Villas on Briarcliff		2014-01-01			
1520	Arbors on Forest Ridge		2014-02-01			
1521	Cutter's Point		2014-02-01			
1522	Eagle Crest		2014-02-01			
1523	Meridian		2014-01-01			
1524	Silverbrook		2014-02-01			
1525	Timberglen		2014-02-01			
1526	Toscana Dallas		2014-02-01			
1527	Veranda Knolls		2013-12-01			
1528	Veranda Estates		2013-12-01			
1529	Brookhollow		2014-02-01			
1531	Terraces at Perkins Rowe		2014-01-01			
1532	Arbors at Tallwood		2014-02-01			
1534	Grove at Alban, The		2014-04-01			
1535	Oaks at Greenview, The		2014-04-01			
1536	Ansley Place		2014-04-01			
1537	Regatta Bay		2014-11-01			
1540	Retreat at the Park	Denver	2014-03-01		CO	1620 Fillmore Street
1541	Landings at Brooks City Base		2014-05-01			
1542	Pavilions at Deer Chase		2014-05-01			
1543	Willowdale Crossing		2014-06-01			
1544	Sierra Park		2014-05-01			
1546	Bristol Place		2014-08-01			
1547	Edgewater at Sandy Springs		2014-08-01			
1548	Beechwood Terrace		2014-08-01			
1549	Abbington Heights		2014-08-01			
1550	Willow Grove		2014-08-01			
1551	Woodbridge		2014-08-01			
1552	Hawthorne Ridge		2014-10-01			
1553	Chatham Village		2014-08-01			
1554	Park at Johns Creek		2014-08-01			
1555	Park at Towne Lake		2014-08-01			
1556	City Parc at Keller		2014-08-01			
1557	Belmont at Duck Creek		2014-10-01			
1558	Mandarin Reserve		2014-08-01			
1559	Colonial Forest		2014-09-01			
1560	Park at Regency		2014-08-01			
1561	Park at Blanding		2014-09-01			
1562	Jade Park		2014-09-01			
1563	Summit at Sabal Park, The		2014-09-01			
1564	Courtney Cove		2014-09-01			
1565	Fairways, The		2014-08-01			
1567	Timber Creek		2014-10-01			
1568	Cambridge Landing		2015-01-01			
1569	Miramar		2015-01-01			
1570	Club at Indian Creek		2014-09-01			
1571	Crossings at Holcomb Bridge		2014-11-01			
1572	Knolls, The		2014-11-01			
1573	Crossings, The		2014-11-01			
1574	Arbors, The		2014-11-01			
1575	Latitude Apartments and Casitas		2014-11-01			
1576	Radbourne Lake		2014-10-01			
1577	Sabal Palm at Lake Buena Vista		2014-12-01			
1578	Palm Canyon		2015-01-01			
1582	Blair's Cove		2015-02-01			
1584	Beldon Spring Lake		2014-11-01			
1585	Timber Oaks		2015-02-01			
1586	Midtown on Main		2015-01-01			
1587	Southpoint Reserve at Stoney Creek		2015-01-01			
1588	University Edge		2014-11-01			
1590	Twelve 6 Ten At The Park		2015-02-01			
1591	Cornerstone, The		2015-02-01			
1592	Promenade at Valley Creek		2012-12-01			
1593	The Preserve at Terrell Mill		2015-02-01			
1594	The Cottages of Savannah		2015-04-01			
1597	Elan at Bluffview	Dallas	2015-04-01		TX	3850 West Northwest Highway
1598	The Ashlar		2015-03-01			
1599	Heatherstone		2015-03-01			
1600	Versailles		2015-03-01			
1602	Seasons 704 Apartment Homes		2015-05-01			
1603	Whispering Lake		2015-06-01			
1604	Huntington Glen		2013-01-01			
1605	Terraces at Perkins Rowe II		2015-12-01			
1608	The Residences of Westover Hills		2015-07-01			
1609	Residences at CityCenter		2015-12-01			
1611	Promenade at Aloma		2015-06-01			
1613	Estates on Maryland		2015-08-01			
1614	Madera Point		2015-08-01			
1615	Pointe at the Foothills		2015-08-01			
1616	Diamond Loch		2015-10-01			
1617	Reserve at Hoffman Estates		2015-08-01			
1618	Northgate Oaks		2015-08-01			
1619	South Point		2015-09-01			
1620	Whisperwood		2015-09-01			
1621	Summit @ 860		2015-09-01			
1622	Autumn Vista		2015-10-01			
1623	Venue at 8651		2015-12-01			
1624	Ashbrooke Apartments		2015-11-01			
1625	Woodcrest Village		2015-10-01			
1626	The Retreat at Acadian Point		2015-09-01			
1628	Flats at West Broad Village		2015-08-01			
1629	Axis at One Pine		2015-10-01			
1630	The Landings		2015-10-01			
1631	Park at Abernathy Square		2016-01-01			
1632	Highland Ridge		2015-12-01			
1634	Serena Vista		2015-12-01			
1635	The Bricks at Perimeter Center		2015-12-01			
1636	Reserve South		2016-01-01			
1637	Rundberg West		2016-02-01			
1638	Heron Pointe		2016-01-01			
1639	The Gregory North		2016-01-01			
1640	The Gregory South		2016-01-01			
1641	Chelsea Commons		2016-01-01			
1642	Lake Ellenor		2016-01-01			
1643	Alexander Pointe		2016-01-01			
1644	Granite Park		2016-02-01			
1647	The Piedmont at Ivy Meadow		2016-03-09			
1648	Brazos Crossing		2016-07-01			
1651	Lakeview Residences		2015-03-01			
1652	Madison Place		2016-04-01			
1654	Villa Espada		2016-06-01			
1656	Triple Crown at Tates Creek		2016-05-01			
1658	Alexan EAV		2016-05-01			
1659	Grand Parkway		2016-04-01			
1660	The Flats WDM		2016-05-01			
1661	Seville		2016-04-01			
1665	Parc500		2016-06-01			
1667	River Vista		2016-07-01			
1671	Willow Lake		2016-05-01			
1674	Solara at Mill Avenue		2016-09-01			
1675	East Bank at Richwood Village		2016-09-01			
1677	The Canopy		2016-08-01			
1678	Willow Lake I		2016-05-01			
1679	Willow Lake II		2016-05-01			
1680	Confluence on 3rd		2016-12-01			
1681	West M		2016-09-01			
1682	Promenade at Ocala		2016-09-01			
1683	Park at the Marketplace		2016-09-01			
1684	Sundance		2014-04-01			
1685	Grand Oaks		2016-10-01			
1686	Lenexa Pointe		2016-11-01			
1687	The Colonnade		2016-10-01			
1692	TAVA Waters		2016-10-01			
1694	Maple Springs		2016-12-01			
1695	Eastfield Plaza		2017-01-01			
1696	Bel Air		2016-12-01			
1697	Vicino On The Lake		2016-12-01			
1698	Walnut Lake		2016-12-01			
1699	The Pines		2016-12-01			
1700	Peanut Factory		2016-12-01			
1701	Windscape of Naperville		2013-01-01			
1702	Autumn Ridge		2016-12-01			
1703	Prairie Lakes		2016-12-01			
1704	Stonecastle		2016-12-01			
1707	Hollister Place		2017-02-01			
1708	Clearpoint Gardens		2017-06-01			
1710	Studio at 710		2017-04-01			
1711	Bridgeview		2017-01-01			
1712	Candleglow		2017-01-01			
1713	Ashford Club		2017-01-01			
1714	Perry Place		2017-01-01			
1716	Connection at Buffalo Pointe		2017-01-01			
1717	The Meritage		2017-01-01			
1718	Old Farm		2017-01-01			
1719	Stone Creek at Old Farm		2017-01-01			
1720	Gardens of Denton		2016-07-01			
1721	Rock Creek		2017-02-01			
1722-merged	1722					
1724	Park at Hurstbourne		2017-03-28			
1729	Sandpiper		2017-06-01			
1730	Estates at Park Avenue		2017-04-01			
1731	San Merano at Mirasol		2017-04-01			
1732	Addison Keller Springs		2017-04-01			
1733	The Preserve at Osprey Lake		2017-04-01			
1734	West End at City Center		2017-05-01			
1735	Tidal Bluffs		2017-05-01			
1736	Somerset at the Crossing		2017-06-01			
1737	Glenwood Vista		2017-05-01			
1738	Village Green		2017-06-01			
1739	The Meadows		2017-07-01			
1740	The Carlyle		2017-06-01			
1741	Mandarina		2017-06-01			
1742	Pavilions at Arrowhead		2017-06-01			
1743	Sevilla		2017-06-01			
1747	Olivia Place		2017-08-01			
1748	Stone Crossing		2017-08-01			
1749	1749					
1750	1750					
1751	1751					
1752	Rockledge		2017-08-01			
1754	Tuscany Palms		2017-07-01			
1755	Arcadia Cove		2017-06-01			
1758-DEP	1758					
200	200					
208	208					
220	220					
221	221					
224	224					
226	226					
227	227					
228	228					
229	229					
230	230					
232	232					
303	303					
304	304					
305	305					
307	307					
308	308					
309	309					
372	372					
435	435					
45333	Autumn Chase	Carrollton - PA	2013-11-01		TX	4600 N. Josey Lane
501	501					
502	502					
503	503					
504	504					
505	505					
507	507					
508	508					
601	601					
969	969					
Brookside Park	Brookside Park					
Portofino Senior Apartments	Portofino Senior Apartments					
alexpt-merged	alexpt					
com122	com122					
com231	com231					
com301	com301					
i17	i17					
ms	ms					
